name,source,gender,wikidata,type
Abraham-Lincoln-Straße,wikidata,M,Q91,way
Achardstraße,wikidata,M,Q60193,way
Achatiusweg,wikidata,M,Q186085,way
Ackermannweg,wikidata,M,Q98053,way
Adam-Allendorf-Weg,wikidata,M,Q348612,way
Adam-Karrillon-Straße,wikidata,M,Q104186,way
Adam-Opel-Straße,wikidata,M,Q57479,way
Adam-Riese-Straße,wikidata,M,Q61740,way
Adam-Stegerwald-Straße,wikidata,M,Q63434,way
Adelungstraße,wikidata,M,Q110917,way
Adenauer-Ufer,wikidata,M,Q2492,way
Adolf-Gerhard-Straße,wikidata,M,Q56062028,way
Adolf-Kolping-Straße,wikidata,M,Q15448837,way
Agnes-Karll-Straße,wikidata,F,Q394562,way
Agnes-Miegel-Straße,wikidata,F,Q67013,way
Agrippastraße,wikidata,M,Q48174,way
Albanstraße,wikidata,M,Q686948,way
Albert-Einstein-Straße,wikidata,M,Q937,way
Albert-Schweitzer-Straße,wikidata,M,Q49325,way
Albert-Schweitzer-Straße,wikidata,M,Q49325,way
Albert-Stohr-Straße,wikidata,M,Q69039,way
Albinistraße,wikidata,M,Q27507663,way
Albrecht-Dürer-Straße,wikidata,M,Q5580,way
Alexander-Fleming-Straße,wikidata,M,Q37064,way
Alfred-Delp-Straße,wikidata,M,Q61305,way
Alfred-Döblin-Straße,wikidata,M,Q57389,way
Alfred-Mumbächer-Straße,wikidata,M,Q1382401,way
Alfred-Nobel-Straße,wikidata,M,Q23810,way
Alicenplatz,wikidata,F,Q155566,way
Alicenstraße,wikidata,F,Q155566,way
Altenauergasse,wikidata,M,Q1692844,way
Am Fort Josef,wikidata,M,Q152480,way
Am Kronberger Hof,wikidata,M,Q95563,way
An der Achatiuskirche,wikidata,M,Q186085,way
An der Bastion Johannes,wikidata,M,Q65766,way
An der Karlsschanze,wikidata,M,Q150665,way
An der Nikolausschanze,wikidata,M,Q44269,way
An der Philippsschanze,wikidata,M,Q65766,way
Anna-Seghers-Platz,wikidata,F,Q57393,way
Annemarie-Renger-Straße,wikidata,F,Q66138,way
Anni-Eisler-Lehmann-Straße,wikidata,F,Q60841306,way
Anselm-Franz-von-Bentzel-Weg,wikidata,M,Q27562805,way
Arndtstraße,wikidata,M,Q57351,way
Aspeltstraße,wikidata,M,Q27585987,way
Auf dem Albansberg,wikidata,M,Q312982,way
August-Horch-Straße,wikidata,M,Q58035,way
Augustusplatz,wikidata,M,Q1405,way
Augustusstraße,wikidata,M,Q1405,way
Bacchusstraße,wikidata,M,Q645312,way
Baentschstraße,wikidata,M,Q2417839,way
Barbarossaring,wikidata,M,Q79789,way
Barbarossastraße,wikidata,M,Q79789,way
Bastion Martin,wikidata,M,Q133704,way
Bastion Philipp,wikidata,M,Q65766,way
Bebelstraße,wikidata,M,Q76520,way
Beethovenstraße,wikidata,M,Q255,way
Benjamin-Franklin-Straße,wikidata,M,Q34969,way
Bert-Brecht-Straße,wikidata,M,Q38757,way
Bilhildisstraße,wikidata,F,Q477895,way
Billrothweg,wikidata,M,Q77242,way
Bismarckplatz,wikidata,M,Q8442,way
Bodelschwinghstraße,wikidata,M,Q87306,way
Bonifaziusplatz,wikidata,M,Q160445,way
Bonifaziusstraße,wikidata,M,Q160445,way
Boppstraße,wikidata,M,Q76934,way
Brahmsweg,wikidata,M,Q7294,way
Breidenbacherstraße,wikidata,M,Q328688,way
Brucknerstraße,wikidata,M,Q81752,way
Büchnerallee,wikidata,M,Q154014,way
Canisiusstraße,wikidata,M,Q44624,way
Carl-Benz-Straße,wikidata,M,Q40224,way
Carl-Diem-Straße,wikidata,M,Q71850,way
Carl-Goerdeler-Straße,wikidata,M,Q57430,way
Carlo-Mierendorff-Straße,wikidata,M,Q1042305,way
Carl-Orff-Straße,wikidata,M,Q44086,way
Carl-von-Linde-Straße,wikidata,M,Q61864,way
Carl-Zeiss-Straße,wikidata,M,Q76833,way
Carl-Zuckmayer-Straße,wikidata,M,Q76820,way
Catharina-Lothary-Straße,wikidata,F,Q107557482,way
Chana-Kahn-Straße,wikidata,F,Q104807517,way
Christianstraße,wikidata,M,Q1080417,way
Christofsgäßchen,wikidata,M,Q193507,way
Christofsstraße,wikidata,M,Q193507,way
Clarissa-Kupferberg-Platz,wikidata,F,Q94761307,way
Clemens-Brentano-Straße,wikidata,M,Q57235,way
Colmarstraße,wikidata,M,Q27604665,way
Corneliusstraße,wikidata,M,Q57257,way
Cranachweg,wikidata,+,Q56538064,way
Curiestraße,wikidata,+,Q11297474,way
Curt-Goetz-Straße,wikidata,M,Q69320,way
Czernyweg,wikidata,M,Q347292,way
Dagobertstraße,wikidata,M,Q109860,way
Dalbergstraße,wikidata,M,Q61353,way
Daniel-Brendel-Straße,wikidata,M,Q95320,way
Dantestraße,wikidata,M,Q1067,way
Dieter-Schro-Weg,wikidata,M,Q60841500,way
Diether-von-Isenburg-Straße,wikidata,M,Q76264,way
Dietrich-Bonhoeffer-Straße,wikidata,M,Q76326,way
Dietrich-Gresemund-Weg,wikidata,M,Q102525,way
Dietzestraße,wikidata,M,Q94814800,way
Dionysiusstraße,wikidata,M,Q244380,way
Domitianstraße,wikidata,M,Q1423,way
Dr.-Falk-Weg,wikidata,M,Q1446714,way
Dr.-Karl-Schramm-Straße,wikidata,M,Q1732917,way
Dr.-Maria-Herr-Beck-Platz,wikidata,F,Q1895945,way
Dr.-Martin-Luther-King-Weg,wikidata,M,Q8027,way
Drususstraße,wikidata,M,Q156778,way
Drususwall,wikidata,M,Q156778,way
