name,source,gender,wikidata,type
"Alte Ziegelei",wikidata,,Q15782755,way
Altkönigstraße,wikidata,,Q442204,way
"Am Klostergarten",wikidata,,Q320189,way
"An den Römersteinen",wikidata,,Q896423,way
"An der Schanze",wikidata,,Q91203,way
Aspeltstraße,wikidata,,Q27585987,way
"Athener Allee",wikidata,,Q1524,way
Augustinerstraße,wikidata,,Q29075,way
Bacchusstraße,wikidata,,Q645312,way
Backhaushohl,wikidata,,Q798436,way
Bahnstraße,wikidata,,Q3565868,way
Barcelona-Allee,wikidata,,Q1492,way
"Beuthener Straße",wikidata,,Q102350,way
"Bretzenheimer Straße",wikidata,,Q1885689,way
Brezelweg,wikidata,,Q160525,way
Buchenweg,wikidata,,Q25403,way
Colmarstraße,wikidata,,Q27604665,way
Cranachweg,wikidata,,Q56538064,way
Curiestraße,wikidata,,Q11297474,way
Deutschhausplatz,wikidata,,Q530788,way
"Draiser Straße",wikidata,,Q883326,way
Drechslerweg,wikidata,,Q1716419,way
Eindhoven-Allee,wikidata,,Q9832,way
Elsterweg,wikidata,,Q25307,way
Emausweg,wikidata,,Q165887,way
"Essenheimer Straße",wikidata,,Q572400,way
Färberweg,wikidata,,Q6147194,way
Feldbergplatz,wikidata,,Q677873,way
Feldbergstraße,wikidata,,Q677873,way
Fischtorplatz,wikidata,,Q1420456,way
Florenz-Allee,wikidata,,Q2044,way
"Genfer Allee",wikidata,,Q71,way
Geschwister-Heinefetter-Platz,wikidata,,Q56827157,way
Geschwister-Scholl-Straße,wikidata,,Q566212;Q76972;Q57820,way
"Gleiwitzer Straße",wikidata,,Q105084,way
"Große Bleiche",wikidata,,Q98525431,way
Gürtlerstraße,wikidata,,Q17305604,way
Haifa-Allee,wikidata,,Q41621,way
Haydnstraße,wikidata,,Q16211552,way
"Hechtsheimer Straße",wikidata,,Q1560735,way
"Hintere Bleiche",wikidata,,Q98525431,way
Ignazgäßchen,wikidata,,Q879179,way
Jupiterweg,wikidata,,Q4649,way
Kapuzinerstraße,wikidata,,Q107762174,way
Karmeliterplatz,wikidata,,Q3585896,way
Karmeliterstraße,wikidata,,Q3585896,way
Kartäuserstraße,wikidata,,Q2961255,way
"Klein-Winternheimer Straße",wikidata,,Q630978,way
"Königshütter Straße",wikidata,,Q104302,way
Küferweg,wikidata,,Q38883,way
Lahnstraße,wikidata,,Q103148,way
Landwehrweg,wikidata,,Q749151,way
"Liegnitzer Straße",wikidata,,Q106274,way
Mainstraße,wikidata,,Q1670,way
"Marienborner Straße",wikidata,,Q1682363,way
Merkurweg,wikidata,,Q308,way
"Mittlere Bleiche",wikidata,,Q98525431,way
Nahestraße,wikidata,,Q168696,way
Neckarstraße,wikidata,,Q1673,way
Neubrunnenstraße,wikidata,,Q1662651,way
"Obere Zahlbacher Straße",wikidata,,Q140605,way
Oderstraße,wikidata,,Q552,way
"Oppelner Straße",wikidata,,Q92212,way
"Oppenheimer Straße",wikidata,,Q518690,way
"Platz der Mainzer Republik",wikidata,,Q706691,way
Plesserstraße,wikidata,,Q948304,way
Rathausstraße,wikidata,,Q543654,way
Rheinallee,wikidata,,Q584,way
Rheinhessenstraße,wikidata,,Q707297,way
Rheinstraße,wikidata,,Q584,way
